"id","name","fgroup","priority","description","cron","server","bean","method","parameter","path","isdelete","createdate"
1,"阿里云巴巴订单跟踪","阿里巴巴",75,"物流信息跟踪","0 0 1 * * ?","wimoor-erp",NULL,NULL,"","http://wimoor-erp/erp/api/v1/purchase_form/refreshAlibabaOrder",1,"2022-05-09 11:23:14"
2,"亚马逊订单跟踪","亚马逊订单",65,"亚马逊订单","0 0/6 * * * ?","wimoor-amazon","ordersController","refreshOrderAction","","http://wimoor-amazon/amazon/api/v0/orders/refreshOrder",0,"2022-06-09 14:10:28"
3,"亚马逊订单详情跟踪","亚马逊订单",64,"亚马逊订单详情","0/20 * * * * ?","wimoor-amazon","ordersController","refreshOrdersItemAction","","http://wimoor-amazon/amazon/api/v0/orders/refreshOrdersItem",0,"2022-06-09 14:10:29"
4,"订单购买","亚马逊报表",100,"亚马逊订单报表","0 45 5,6,7 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FLAT_FILE_ALL_ORDERS_DATA_BY_ORDER_DATE_GENERAL","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FLAT_FILE_ALL_ORDERS_DATA_BY_ORDER_DATE_GENERAL",0,"2022-06-09 14:13:43"
5,"订单更新","亚马逊报表",99,"订单更新报表","27 25 2,4 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FLAT_FILE_ALL_ORDERS_DATA_BY_LAST_UPDATE_GENERAL","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FLAT_FILE_ALL_ORDERS_DATA_BY_LAST_UPDATE_GENERAL",0,"2022-06-09 14:15:48"
6,"退货","亚马逊报表",97,"退货报表","38 18 17 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_FULFILLMENT_CUSTOMER_RETURNS_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_FULFILLMENT_CUSTOMER_RETURNS_DATA",0,"2022-06-09 14:15:48"
7,"订单发货","亚马逊报表",96,"订单发货报表","43 30 18 * * ?","wimoor-amazon","reportController","requestReportAction","GET_AMAZON_FULFILLED_SHIPMENTS_DATA_GENERAL","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_AMAZON_FULFILLED_SHIPMENTS_DATA_GENERAL",0,"2022-06-09 14:16:43"
8,"移除","亚马逊报表",95,"订单移除报表","55 10 19 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_FULFILLMENT_REMOVAL_ORDER_DETAIL_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_FULFILLMENT_REMOVAL_ORDER_DETAIL_DATA",0,"2022-06-09 14:35:44"
9,"订单","亚马逊汇总",72,"订单汇总","0 5/30 * * * ?","wimoor-amazon","reportController","summaryOrderReportAction","","http://wimoor-amazon/amazon/api/v1/report/summaryOrderReport",0,"2022-06-09 14:35:45"
10,"库存","亚马逊报表",98,"亚马逊库存报表","10 0 4,5 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_MYI_UNSUPPRESSED_INVENTORY_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_MYI_UNSUPPRESSED_INVENTORY_DATA",0,"2022-06-09 14:35:46"
11,"仓库健康","亚马逊报表",94,"亚马逊库存健康报表","35 12 1 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_FULFILLMENT_INVENTORY_HEALTH_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_FULFILLMENT_INVENTORY_HEALTH_DATA",0,"2022-06-09 14:35:47"
12,"更新处理","亚马逊报表",68,"亚马逊报表更新处理","0 2/5 * * * ?","wimoor-amazon","reportController","refreshReportAction","","http://wimoor-amazon/amazon/api/v1/report/refreshReport",0,"2022-06-09 14:35:48"
13,"账期","亚马逊报表",93,"亚马逊账期报表","55 10 19 * * ?","wimoor-amazon","reportController","requestReportAction","GET_V2_SETTLEMENT_REPORT_DATA_FLAT_FILE_V2","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_V2_SETTLEMENT_REPORT_DATA_FLAT_FILE_V2",0,"2022-06-09 14:35:49"
14,"商品分类","亚马逊报表",92,"亚马逊商品分类报表","0 41 13 ? * 1L",NULL,NULL,NULL,"",NULL,1,"2022-06-09 14:35:50"
15,"FBA费用","亚马逊报表",91,"亚马逊FBA费用报表","10 25,41 2 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_ESTIMATED_FBA_FEES_TXT_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_ESTIMATED_FBA_FEES_TXT_DATA",0,"2022-06-09 14:35:51"
16,"仓储费","亚马逊报表",90,"亚马逊仓储费报表","20 40 22 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_STORAGE_FEE_CHARGES_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_STORAGE_FEE_CHARGES_DATA",0,"2022-06-09 14:35:51"
17,"长期仓储费","亚马逊报表",89,"亚马逊长期仓储费报表","30 0 22 * * ?","wimoor-amazon","reportController","requestReportAction","GET_FBA_FULFILLMENT_LONGTERM_STORAGE_FEE_CHARGES_DATA","http://wimoor-amazon/amazon/api/v1/report/requestReport/GET_FBA_FULFILLMENT_LONGTERM_STORAGE_FEE_CHARGES_DATA",0,"2022-06-09 14:35:52"
